name,type,atrophy,behavior,cognitive,alertnesss,coordination,cranial_nerve,dysautonomia,EOMS,fatigue,gait,head,hyperkinesia,hyperreflexia,hypertonia,hypokinesia,hyporeflexia,hypotonia,neck,pain,seizure,sensory,skin,speech,sphincter,tremor,vision,weakness,misc
Episodic_ataxia_type_1,ataxia,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
Autosomal_dominant_mitochondrial_myopathy_with_exercise_intolerance,myopathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Spinocerebellar_ataxia_type_3,ataxia,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Spastic_ataxia_with_congenital_miosis,ataxia,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Vacuolar_myopathy_with_sarcoplasmic_reticulum_protein_aggregates,myopathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spinocerebellar_ataxia_with_axonal_neuropathy_type_2,ataxia,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Alpha_B_crystallin_related_late_onset_myopathy,myopathy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
Charcot_Marie_Tooth_disease_type_4G,CMT,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
X_linked_non_progressive_cerebellar_ataxia,ataxia,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Spinocerebellar_ataxia_type_7,ataxia,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
GNE_myopathy,myopathy,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Parkinsonian_pyramidal_syndrome,Parkinson,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
Charcot_Marie_Tooth_disease_type_4D,CMT,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Acanthosis_nigricans_insulin_resistance_muscle_cramps_acral_enlargement_syndrome,myopathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Autosomal_recessive_centronuclear_myopathy,myopathy,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
X_linked_spinocerebellar_ataxia_type_4,ataxia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Intellectual_disability_cataracts_calcified_pinnae_myopathy_syndrome,myopathy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Spinocerebellar_ataxia_type_18,ataxia,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
Autosomal_dominant_Charcot_Marie_Tooth_disease_type_2Y,CMT,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
Dilated_cardiomyopathy_hypergonadotropic_hypogonadism_syndrome,myopathy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spinocerebellar_ataxia_type_13,ataxia,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
Autosomal_dominant_centronuclear_myopathy,myopathy,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
Autosomal_dominant_Charcot_Marie_Tooth_disease_type_2A2,CMT,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1
Autosomal_dominant_Charcot_Marie_Tooth_disease_type_2Z,CMT,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1
Hereditary_late_onset_Parkinson_disease,Parkinson,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1
Autosomal_dominant_Charcot_Marie_Tooth_disease_type_2W,CMT,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Cyanide_induced_parkinsonism_dystonia,Parkinson,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Spinocerebellar_ataxia_type_36,ataxia,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0
Cataract_ataxia_deafness_syndrome,ataxia,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Finnish_upper_limb_onset_distal_myopathy,myopathy,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Spinocerebellar_ataxia_type_28,ataxia,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Autosomal_dominant_Charcot_Marie_Tooth_disease_type_2F,CMT,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Ataxia_oculomotor_apraxia_type_4,ataxia,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Spastic_ataxia_corneal_dystrophy_syndrome,ataxia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
X_linked_Charcot_Marie_Tooth_disease_type_5,CMT,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1
